2026-06-18 13:04:26,322 | INFO | main.py | 216 | Iniciando rotina de envio...
2026-06-18 13:04:26,656 | INFO | main.py | 94 | Buscando contatos no Supabase...
2026-06-18 13:04:26,912 | DEBUG | _trace.py | 47 | connect_tcp.started host='eigkxlfqkkorkxzxoxge.supabase.co' port=443 local_address=None timeout=120 socket_options=None
2026-06-18 13:04:27,040 | DEBUG | _trace.py | 47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001CA04C563C0>
2026-06-18 13:04:27,040 | DEBUG | _trace.py | 47 | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001CA039E3C70> server_hostname='eigkxlfqkkorkxzxoxge.supabase.co' timeout=120
2026-06-18 13:04:27,090 | DEBUG | _trace.py | 47 | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001CA04C460D0>
2026-06-18 13:04:27,091 | DEBUG | _trace.py | 47 | send_connection_init.started request=<Request [b'GET']>
2026-06-18 13:04:27,091 | DEBUG | _trace.py | 47 | send_connection_init.complete
2026-06-18 13:04:27,091 | DEBUG | _trace.py | 47 | send_request_headers.started request=<Request [b'GET']> stream_id=1
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 288 | Adding (b':method', b'GET') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 2 with 7 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 288 | Adding (b':authority', b'eigkxlfqkkorkxzxoxge.supabase.co') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 1 with 6 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 24 with 7 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 288 | Adding (b':scheme', b'https') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 7 with 7 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 288 | Adding (b':path', b'/rest/v1/contatos?select=id%2Cnome%2Ctelefone%2Cativo&ativo=eq.True') to the header table, sensitive:False, huffman:True
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 4 with 6 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 53 | Encoding 48 with 7 bits
2026-06-18 13:04:27,091 | DEBUG | hpack.py | 288 | Adding (b'accept', b'*/*') to the header table, sensitive:False, huffman:True
